comparison_id,from_run_id,to_run_id,level,parent_category,category,amount,sort_order
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Baseline,House Price Index,495059.59846371546,3
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Baseline,Commercial Property Prices,495059.59846371546,4
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Baseline,BBB Spread,495059.59846371546,5
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Baseline,Corporate Default Rate,495059.59846371546,6
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Downside,Unemployment,1113884.0965433598,1
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Downside,GDP,1113884.0965433598,2
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Downside,House Price Index,1113884.0965433598,3
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Downside,Commercial Property Prices,1113884.0965433598,4
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Downside,BBB Spread,1113884.0965433598,5
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Downside,Corporate Default Rate,1113884.0965433598,6
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Severe,Unemployment,866354.2973115019,1
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Severe,GDP,866354.2973115019,2
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Severe,House Price Index,866354.2973115019,3
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Severe,Commercial Property Prices,866354.2973115019,4
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Severe,BBB Spread,866354.2973115019,5
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Severe,Corporate Default Rate,866354.2973115019,6
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,2,Credit quality,FICO,647607.0328740464,1
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,2,Credit quality,DTI,647607.0328740464,2
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,2,Credit quality,Delinquency,647607.0328740464,3
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,2,Credit quality,Watchlist / forbearance,647607.0328740464,4
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,2,Credit quality,Rating,647607.0328740464,5
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,2,Credit quality,Leverage,647607.0328740464,6
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,2,Credit quality,Interest coverage,647607.0328740464,7
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,2,Credit quality,LTV,647607.0328740464,8
