as_of_date,instrument_id,counterparty_id,product_type,segment,origination_date,maturity_date,original_balance,current_balance,undrawn_amount,interest_rate,days_past_due,watchlist_flag,forbearance_flag,default_flag,chargeoff_flag,collateral_type,collateral_value,ltv,risk_grade,state
2026-06-30,LN-000028,CP-I-00028,Auto Loan,RETAIL,2021-03-04,2026-03-02,30812.46044689848,7993.120401897636,0.0,0.08306493410701174,0,1,0,0,0,Vehicle,7048.3264556010845,1.1340451456452834,,TX
2026-06-30,LN-000029,CP-C-00188,Equipment Lease,COMMERCIAL,2022-06-03,2027-06-01,854456.643051923,286551.3709045702,0.0,0.08901617395898115,0,0,0,0,0,Equipment,413906.05890400056,0.692310162512097,BB+,TX
2026-06-30,LN-000030,CP-I-00834,Credit Card,RETAIL,2024-08-28,2034-08-24,7118.634152171203,4103.669325659502,9869.339593464552,0.1453697774811737,0,0,0,0,0,Unsecured,0.0,,,NC
2026-06-30,LN-000031,CP-I-00291,Mortgage,RETAIL,2022-10-14,2052-09-30,342579.2984826579,310708.5961901043,0.0,0.1960920251898815,0,0,0,0,0,Residential Real Estate,392535.4823122362,0.7915427017192703,,VA
2026-06-30,LN-000032,CP-I-01653,Mortgage,RETAIL,2021-12-25,2051-12-12,507397.94343218976,454240.8185418228,0.0,0.1835535259311995,0,0,0,0,0,Residential Real Estate,385485.7754231186,1.1783594817298693,,TX
2026-06-30,LN-000033,CP-I-01229,Mortgage,RETAIL,2026-02-03,2056-01-21,156626.74623385636,156246.227167609,0.0,0.16658457167197932,0,0,0,0,0,Residential Real Estate,185829.57061521226,0.840803897088801,,TX
2026-06-30,LN-000034,CP-I-00222,Mortgage,RETAIL,2023-01-01,2052-12-18,518903.53757901187,487483.89111354016,0.0,0.08985264467308607,0,0,0,0,0,Residential Real Estate,392302.05916826014,1.2426238397705074,,FL
2026-06-30,LN-000035,CP-C-00421,Revolving Credit Facility,COMMERCIAL,2023-05-02,2033-04-27,587308.6152424497,656016.7201942598,166367.07299619948,0.16176397653074065,0,0,0,0,0,Unsecured,0.0,,BBB-,FL
2026-06-30,LN-000036,CP-I-00507,Mortgage,RETAIL,2019-11-02,2049-10-19,162241.87551937357,133528.7565902517,0.0,0.10448171053198119,0,0,0,0,0,Residential Real Estate,167793.59377645754,0.7957917438024776,,GA
2026-06-30,LN-000037,CP-I-01008,Mortgage,RETAIL,2020-04-14,2050-04-01,533860.0284890145,459626.7351475699,0.0,0.11143923205036368,0,0,0,0,0,Residential Real Estate,580233.8130744165,0.7921405557394181,,FL
2026-06-30,LN-000038,CP-I-01227,Mortgage,RETAIL,2020-11-24,2050-11-11,383784.9916221835,323322.69422177545,0.0,0.09838875633644595,0,0,0,0,0,Residential Real Estate,329235.62248713255,0.9820404359021382,,VA
2026-06-30,LN-000039,CP-I-00957,Mortgage,RETAIL,2024-12-12,2054-11-29,394423.0007498621,381426.3556325196,0.0,0.13988162095817994,0,0,0,0,0,Residential Real Estate,408412.4466865138,0.9339244156907197,,NC
2026-06-30,LN-000040,CP-I-00646,Personal Loan,RETAIL,2024-04-10,2028-04-08,89422.01368899587,50092.53359329089,0.0,0.17475247228793922,0,0,0,0,0,Unsecured,0.0,,,NY
2026-06-30,LN-000041,CP-I-00584,Personal Loan,RETAIL,2020-04-01,2024-03-30,12991.048457001747,3324.077493977989,0.0,0.04081677274380855,0,0,0,0,0,Unsecured,0.0,,,NC
2026-06-30,LN-000042,CP-C-00190,Equipment Lease,COMMERCIAL,2020-06-15,2025-06-13,417677.8807946848,109284.07316408354,0.0,0.08449355501838746,0,0,0,0,0,Equipment,138248.276700101,0.7904913954273087,BBB-,GA
2026-06-30,LN-000043,CP-I-00824,Mortgage,RETAIL,2026-04-24,2056-04-10,290212.52952614386,299180.19052844815,0.0,0.14792263348054965,0,0,0,0,0,Residential Real Estate,398936.13014217076,0.7499450862518466,,FL
2026-06-30,LN-000044,CP-I-00839,Mortgage,RETAIL,2019-10-27,2049-10-13,287054.180783354,236813.04764390455,0.0,0.16473523133349136,0,0,0,0,0,Residential Real Estate,319729.17839701765,0.7406676138573953,,VA
2026-06-30,LN-000045,CP-C-00384,Commercial Term Loan,COMMERCIAL,2021-08-22,2028-08-18,947640.1012901792,417022.9244174894,0.0,0.10528500129722843,0,0,0,0,0,Business Assets,531442.3040775794,0.7847002792547971,BB+,NY
2026-06-30,LN-000046,CP-I-00243,Personal Loan,RETAIL,2023-09-03,2027-09-01,18401.195298211,7697.221507467144,0.0,0.13793935719082603,0,1,0,0,0,Unsecured,0.0,,,GA
2026-06-30,LN-000047,CP-I-01474,Mortgage,RETAIL,2020-07-26,2050-07-13,227260.19889239944,192924.17299092273,0.0,0.1248992825024948,0,1,0,0,0,Residential Real Estate,146386.6533758019,1.3179082145941976,,TX
2026-06-30,LN-000048,CP-C-00590,Revolving Credit Facility,COMMERCIAL,2022-05-15,2032-05-10,2104678.0267247027,2910452.053348849,593191.6015846762,0.12322115536405201,0,0,0,0,0,Unsecured,0.0,,BBB+,VA
2026-06-30,LN-000049,CP-I-00738,Personal Loan,RETAIL,2022-04-06,2026-04-04,15536.31633439498,4138.311369892744,0.0,0.1359532407267214,0,1,0,0,0,Unsecured,0.0,,,CA
2026-06-30,LN-000050,CP-I-00178,Credit Card,RETAIL,2026-05-07,2036-05-02,12518.83607013621,15070.937409253262,10465.199116627175,0.06434304410214768,0,1,0,0,0,Unsecured,0.0,,,VA
2026-06-30,LN-000051,CP-C-00507,Revolving Credit Facility,COMMERCIAL,2023-12-28,2033-12-23,491450.1921041967,748495.8284493748,214578.52575055556,0.059022508455534695,0,0,0,0,0,Unsecured,0.0,,BBB-,NC
2026-06-30,LN-000052,CP-C-00166,Equipment Lease,COMMERCIAL,2024-08-05,2029-08-03,861982.8272567649,582841.6641252431,0.0,0.0646088886811801,0,0,0,0,0,Equipment,695440.449930246,0.8380899675647329,BBB-,TX
2026-06-30,LN-000053,CP-C-00414,Commercial Term Loan,COMMERCIAL,2024-03-25,2031-03-22,1847750.453180876,1368492.243748361,0.0,0.10840696815148387,0,0,0,0,0,Business Assets,1197705.256799179,1.1425951718752607,BBB,FL
2026-06-30,LN-000054,CP-I-01204,Mortgage,RETAIL,2023-03-19,2053-03-05,153342.60890708675,143028.449150807,0.0,0.1806005657627056,0,1,0,0,0,Residential Real Estate,196262.70246994335,0.7287602145023508,,FL
2026-06-30,LN-000055,CP-C-00413,Revolving Credit Facility,COMMERCIAL,2022-03-25,2032-03-20,338579.71835563646,351631.35169474594,116280.91517417075,0.07930883527616436,0,1,0,0,0,Unsecured,0.0,,B+,NC
2026-06-30,LN-000056,CP-C-00109,Revolving Credit Facility,COMMERCIAL,2025-10-21,2035-10-17,1544771.9073603465,1380182.277522266,1488052.2248161156,0.07817927903171418,0,0,0,0,0,Unsecured,0.0,,BBB-,TX
2026-06-30,LN-000057,CP-I-00009,Auto Loan,RETAIL,2026-04-19,2031-04-17,19347.17006543447,18665.562514653884,0.0,0.1601900563445402,0,0,0,0,0,Vehicle,23255.411239319747,0.8026330870939213,,VA
2026-06-30,LN-000058,CP-I-01292,Auto Loan,RETAIL,2025-04-16,2030-04-14,47409.27653955084,39150.94893911508,0.0,0.215143283637343,0,0,0,0,0,Vehicle,54882.740300981204,0.7133563069993998,,VA
2026-06-30,LN-000059,CP-C-00586,Equipment Lease,COMMERCIAL,2020-10-14,2025-10-12,2173483.4412924373,592144.3280227601,0.0,0.21168386062579908,0,0,0,0,0,Equipment,840268.9518549773,0.7047080898509253,BBB-,CA
2026-06-30,LN-000060,CP-I-01333,Mortgage,RETAIL,2021-03-02,2051-02-17,824683.2475639104,691095.6692790515,0.0,0.057908538592159484,0,0,0,0,0,Residential Real Estate,626968.5054099454,1.1022813160721308,,NY
2026-06-30,LN-000061,CP-I-01104,Credit Card,RETAIL,2021-03-01,2031-02-25,4321.371868230624,1745.2985113146103,4854.891002218852,0.198434151014322,0,0,0,0,0,Unsecured,0.0,,,CA
2026-06-30,LN-000062,CP-I-00061,Mortgage,RETAIL,2026-04-11,2056-03-28,247256.5248287355,246904.8827848859,0.0,0.05092176839849412,0,0,0,0,0,Residential Real Estate,223311.5492991721,1.1056520970803245,,NY
2026-06-30,LN-000063,CP-C-00357,Commercial Term Loan,COMMERCIAL,2025-01-31,2032-01-28,2662808.4108088887,2310696.9811938037,0.0,0.20434286778215602,0,0,0,0,0,Business Assets,2917912.6057112957,0.7919006815594904,BBB-,NY
2026-06-30,LN-000064,CP-C-00037,Commercial Term Loan,COMMERCIAL,2026-01-06,2033-01-02,1736875.5292810115,1582832.5031594087,0.0,0.13026400778169567,0,0,0,0,0,Business Assets,1843913.5578654925,0.858409276512772,BBB,TX
2026-06-30,LN-000065,CP-I-00630,Personal Loan,RETAIL,2024-09-23,2028-09-21,5536.527629660979,3502.5953812784496,0.0,0.09981178473182167,0,1,0,0,0,Unsecured,0.0,,,FL
2026-06-30,LN-000066,CP-C-00394,Equipment Lease,COMMERCIAL,2022-02-17,2027-02-15,600304.8769592395,183640.5644375927,0.0,0.10027455615272246,0,0,0,0,0,Equipment,199550.03621912116,0.9202732703888931,BBB,CA
2026-06-30,LN-000067,CP-I-01040,Mortgage,RETAIL,2021-04-28,2051-04-15,394103.0280289222,349828.02593586425,0.0,0.07607383484941782,0,0,0,0,0,Residential Real Estate,263622.20623677917,1.3270051522960744,,NY
2026-06-30,LN-000068,CP-I-00961,Credit Card,RETAIL,2025-09-01,2035-08-28,9982.967488719409,4843.696599924563,9676.970355145793,0.07217180686339555,0,0,0,0,0,Unsecured,0.0,,,NC
2026-06-30,LN-000069,CP-I-01489,Mortgage,RETAIL,2020-05-12,2050-04-29,169378.78598202128,137841.6725797422,0.0,0.06891444880690673,0,0,0,0,0,Residential Real Estate,149182.78921695167,0.9239783845258689,,NY
2026-06-30,LN-000070,CP-I-00968,Mortgage,RETAIL,2023-03-02,2053-02-16,348151.95014287904,308563.96342609596,0.0,0.10686629335163456,0,1,0,0,0,Residential Real Estate,259363.98275785666,1.1896947299508915,,GA
2026-06-30,LN-000071,CP-I-01202,Auto Loan,RETAIL,2025-11-21,2030-11-19,98200.97928787356,89612.1775902948,0.0,0.15964624941232028,0,0,0,0,0,Vehicle,120897.77661640375,0.7412227097825385,,FL
2026-06-30,LN-000072,CP-I-01093,Personal Loan,RETAIL,2023-08-01,2027-07-30,7803.25848152252,3353.51886889785,0.0,0.21429665991137278,0,1,0,0,0,Unsecured,0.0,,,NY
2026-06-30,LN-000073,CP-I-00266,Personal Loan,RETAIL,2020-03-08,2024-03-06,11226.975791463688,2987.267304598347,0.0,0.15796313115341654,0,0,0,0,0,Unsecured,0.0,,,FL
2026-06-30,LN-000074,CP-C-00596,Commercial Real Estate,COMMERCIAL,2023-03-02,2038-02-23,2642821.8619466736,2158419.8901737016,0.0,0.21356609740338,0,0,0,0,0,Commercial Real Estate,2262797.812050855,0.9538721836651628,BB,NC
2026-06-30,LN-000075,CP-I-00649,Mortgage,RETAIL,2021-08-14,2051-08-01,570426.437135886,477178.92764821905,0.0,0.14332162780024685,0,1,0,0,0,Residential Real Estate,635025.5284162759,0.7514326689169192,,CA
2026-06-30,LN-000076,CP-C-00147,Revolving Credit Facility,COMMERCIAL,2020-02-03,2030-01-29,2114499.651744187,1680040.721957387,820059.7547977185,0.10205497410854353,0,0,0,0,0,Unsecured,0.0,,BBB-,VA
2026-06-30,LN-000077,CP-C-00113,Revolving Credit Facility,COMMERCIAL,2024-08-19,2034-08-15,422312.70513832074,222168.25434138818,547210.161105931,0.12670054621872712,120,1,0,1,0,Unsecured,0.0,,BB+,NY
2026-06-30,LN-000078,CP-C-00004,Equipment Lease,COMMERCIAL,2024-02-02,2029-01-30,316944.6759657175,191466.5883491079,0.0,0.05539514136370484,0,0,0,0,0,Equipment,227125.632839535,0.8429985904954183,BBB,FL
2026-06-30,LN-000079,CP-I-00902,Mortgage,RETAIL,2020-03-11,2050-02-26,158556.41392390666,132021.31178586915,0.0,0.11872387740045348,0,1,0,0,0,Residential Real Estate,147543.47980961655,0.894795974422072,,GA
2026-06-30,LN-000080,CP-I-00362,Personal Loan,RETAIL,2023-05-25,2027-05-23,12893.794542446693,4959.788385804869,0.0,0.10514588753367057,0,0,0,0,0,Unsecured,0.0,,,NC
2026-06-30,LN-000081,CP-C-00591,Commercial Term Loan,COMMERCIAL,2020-05-25,2027-05-22,1377298.9625513032,432815.43733587826,0.0,0.07200636852819109,0,0,0,0,0,Business Assets,537152.1873278337,0.8057594245105869,BBB-,NC
2026-06-30,LN-000082,CP-I-01142,Mortgage,RETAIL,2021-12-22,2051-12-09,345265.23462614644,296600.7125854586,0.0,0.12083791117723469,0,0,0,0,0,Residential Real Estate,259883.75096015137,1.141282252121015,,NY
2026-06-30,LN-000083,CP-I-01376,Mortgage,RETAIL,2020-02-16,2050-02-02,296549.5149762583,240712.2955889894,0.0,0.13363199810000084,0,0,0,0,0,Residential Real Estate,181381.2014989557,1.327107184204948,,NC
2026-06-30,LN-000084,CP-I-01613,Mortgage,RETAIL,2025-01-31,2055-01-18,351680.33356712636,345620.07901925733,0.0,0.11585254746316911,15,0,0,0,0,Residential Real Estate,425164.70610212797,0.8129086776460618,,CA
2026-06-30,LN-000085,CP-I-00021,Auto Loan,RETAIL,2024-02-23,2029-02-20,91571.4288990637,56391.970237287875,0.0,0.13304807573739347,0,0,0,0,0,Vehicle,46653.78166834458,1.2087331020274146,,GA
2026-06-30,LN-000086,CP-I-01351,Credit Card,RETAIL,2025-11-16,2035-11-12,4696.044907713619,1893.719963492271,6136.121706505292,0.05061629886110157,0,0,0,0,0,Unsecured,0.0,,,VA
2026-06-30,LN-000087,CP-I-00033,Auto Loan,RETAIL,2024-07-09,2029-07-07,74812.71643342053,51360.19574913822,0.0,0.18835633325024456,0,0,0,0,0,Vehicle,52145.07322395829,0.9849481949819288,,FL
2026-06-30,LN-000088,CP-C-00343,Commercial Term Loan,COMMERCIAL,2021-08-07,2028-08-03,397883.44894747,177638.83924711792,0.0,0.1534665931839497,0,0,0,0,0,Business Assets,169618.457888464,1.0472848383277242,BBB-,NY
2026-06-30,LN-000089,CP-I-00640,Credit Card,RETAIL,2022-08-15,2032-08-10,7915.205874289328,5791.794406020505,3798.546630721802,0.08661440825396191,0,0,0,0,0,Unsecured,0.0,,,NY
2026-06-30,LN-000090,CP-I-01344,Mortgage,RETAIL,2021-01-24,2051-01-11,247261.22204127526,205254.8624345434,0.0,0.19449058350314638,0,1,0,0,0,Residential Real Estate,160870.0774475273,1.275904541672727,,NC
2026-06-30,LN-000091,CP-I-00317,Personal Loan,RETAIL,2020-06-21,2024-06-19,27730.398882951777,7294.743577878207,0.0,0.19693443493802154,0,0,0,0,0,Unsecured,0.0,,,NC
2026-06-30,LN-000092,CP-I-01323,Auto Loan,RETAIL,2023-06-14,2028-06-11,13999.162998314367,7269.748303350717,0.0,0.19868713595278142,0,0,0,0,0,Vehicle,10215.810975521435,0.7116173469507304,,GA
2026-06-30,LN-000093,CP-I-01044,Mortgage,RETAIL,2025-01-26,2055-01-13,477156.62278032006,465104.0057988644,0.0,0.21039285073852873,0,0,0,0,0,Residential Real Estate,456540.3915160594,1.0187576267991696,,CA
2026-06-30,LN-000094,CP-I-01155,Mortgage,RETAIL,2023-04-24,2053-04-10,228421.47971895954,207514.4969452642,0.0,0.06227983767039226,0,0,0,0,0,Residential Real Estate,275259.62987246836,0.7538864200369977,,TX
2026-06-30,LN-000095,CP-I-00890,Mortgage,RETAIL,2023-08-11,2053-07-28,171046.06271043044,157194.1416581315,0.0,0.16081928531805803,0,0,0,0,0,Residential Real Estate,218858.51581601324,0.7182454887443318,,VA
2026-06-30,LN-000096,CP-I-01467,Auto Loan,RETAIL,2023-08-20,2028-08-17,29090.86574603451,15554.820790777432,0.0,0.16037843352599127,0,0,0,0,0,Vehicle,18269.129521103114,0.8514264882084109,,FL
2026-06-30,LN-000097,CP-I-00519,Mortgage,RETAIL,2021-10-02,2051-09-19,114006.33133325644,102512.7626685514,0.0,0.10568749828346846,0,0,0,0,0,Residential Real Estate,113379.47897959991,0.9041562334838059,,FL
2026-06-30,LN-000098,CP-I-00111,Mortgage,RETAIL,2019-12-16,2049-12-02,518586.0682852555,419537.68952972314,0.0,0.10222901011685058,0,0,0,0,0,Residential Real Estate,381889.4791766717,1.0985840469714392,,FL
2026-06-30,LN-000099,CP-I-01256,Mortgage,RETAIL,2020-11-30,2050-11-17,390792.3496833927,341543.9555549216,0.0,0.16718303548302088,0,0,0,0,0,Residential Real Estate,332680.2588235238,1.0266432903555593,,FL
2026-06-30,LN-000100,CP-I-00232,Auto Loan,RETAIL,2020-01-01,2024-12-29,51199.1971489983,13149.208843976163,0.0,0.2118746975468899,0,0,0,0,0,Vehicle,12904.043752950218,1.0189990901859654,,NY
2026-06-30,LN-000101,CP-I-00582,Personal Loan,RETAIL,2024-09-19,2028-09-17,23891.699995109717,15566.493481290603,0.0,0.20519558259261228,0,0,0,0,0,Unsecured,0.0,,,VA
2026-06-30,LN-000102,CP-C-00362,Revolving Credit Facility,COMMERCIAL,2022-12-07,2032-12-02,1724328.4481000942,1705363.8962830566,1408267.6615921673,0.13434357504720965,0,0,0,0,0,Unsecured,0.0,,BBB-,NC
2026-06-30,LN-000103,CP-I-01497,Personal Loan,RETAIL,2025-01-16,2029-01-14,8041.079929685229,5593.67348897303,0.0,0.20710588009015407,0,1,0,0,0,Unsecured,0.0,,,TX
2026-06-30,LN-000104,CP-C-00640,Equipment Lease,COMMERCIAL,2024-02-27,2029-02-24,239274.28039865274,147393.56967601276,0.0,0.09665655583797797,0,0,0,0,0,Equipment,143435.96452489504,1.0275914423849455,A,CA
2026-06-30,LN-000105,CP-I-01219,Mortgage,RETAIL,2021-07-13,2051-06-30,177017.79399144498,158618.58172102328,0.0,0.11499136171281621,0,0,0,0,0,Residential Real Estate,133490.2278529971,1.1882411489753255,,NY
2026-06-30,LN-000106,CP-C-00012,Revolving Credit Facility,COMMERCIAL,2025-08-02,2035-07-29,1074655.678304686,371062.43279790523,1239164.9874546772,0.18909463157281392,0,0,0,0,0,Unsecured,0.0,,BBB,VA
2026-06-30,LN-000107,CP-I-01318,Mortgage,RETAIL,2020-01-07,2049-12-24,253769.35063193238,215599.21705911565,0.0,0.18873632366099918,0,0,0,0,0,Residential Real Estate,169923.61874550235,1.2688007626651505,,NC
2026-06-30,LN-000108,CP-I-01313,Mortgage,RETAIL,2022-03-08,2052-02-23,520457.97516527376,464431.0581034742,0.0,0.043147729552561055,0,0,0,0,0,Residential Real Estate,584165.0916873316,0.7950339120093404,,NC
2026-06-30,LN-000109,CP-I-01090,Mortgage,RETAIL,2024-05-25,2054-05-12,248602.42569714473,241274.27560906459,0.0,0.15587247156676892,0,0,0,0,0,Residential Real Estate,309799.79435349547,0.7788070876953515,,NC
2026-06-30,LN-000110,CP-C-00383,Commercial Real Estate,COMMERCIAL,2021-12-13,2036-12-06,1264285.9872710481,937230.544061723,0.0,0.21300629483209793,0,0,0,0,0,Commercial Real Estate,994766.5926935136,0.9421612576715095,BBB,TX
2026-06-30,LN-000111,CP-I-01515,Auto Loan,RETAIL,2023-07-12,2028-07-09,47239.71821165232,25432.86792393073,0.0,0.20840672003644978,0,0,0,0,0,Vehicle,35120.6449096189,0.7241572012524501,,GA
2026-06-30,LN-000112,CP-C-00298,Commercial Real Estate,COMMERCIAL,2022-07-28,2037-07-21,711612.7855244024,571731.6259979121,0.0,0.21856890069423843,0,0,0,0,0,Commercial Real Estate,600396.4424434343,0.9522568516081393,BBB,GA
2026-06-30,LN-000113,CP-I-00709,Personal Loan,RETAIL,2024-07-29,2028-07-27,12625.736747225057,7521.377085842711,0.0,0.19558428151655619,0,0,0,0,0,Unsecured,0.0,,,FL
2026-06-30,LN-000114,CP-I-01119,Credit Card,RETAIL,2020-08-23,2030-08-19,7415.349946993466,2933.6098907258365,5809.894825949637,0.05655508316372611,0,0,0,0,0,Unsecured,0.0,,,NC
2026-06-30,LN-000115,CP-C-00630,Commercial Real Estate,COMMERCIAL,2023-12-27,2038-12-20,3500557.7080537947,3129648.4877091274,0.0,0.11893680653777128,0,0,0,0,0,Commercial Real Estate,3475183.3235246837,0.9005707602598934,A,FL
2026-06-30,LN-000116,CP-I-01307,Mortgage,RETAIL,2024-11-05,2054-10-23,311329.76068085834,301508.73061543057,0.0,0.21713239546572694,0,1,0,0,0,Residential Real Estate,279448.5891206509,1.078941681416954,,GA
2026-06-30,LN-000117,CP-C-00169,Equipment Lease,COMMERCIAL,2020-03-28,2025-03-26,398260.00117764284,100972.75870375856,0.0,0.15535701339978425,0,0,0,0,0,Equipment,83930.76905644187,1.2030481769547026,BBB-,NC
2026-06-30,LN-000118,CP-I-00338,Mortgage,RETAIL,2024-06-01,2054-05-19,296785.71440576896,285139.52183631604,0.0,0.1629748539218694,0,1,0,0,0,Residential Real Estate,258474.28872037202,1.1031639674799205,,NC
2026-06-30,LN-000119,CP-I-01682,Credit Card,RETAIL,2026-05-25,2036-05-20,8330.389751056708,7860.781303979779,4927.465862868988,0.09842293004477895,0,0,0,0,0,Unsecured,0.0,,,VA
2026-06-30,LN-000120,CP-C-00567,Equipment Lease,COMMERCIAL,2023-07-13,2028-07-10,488720.4601906883,259032.3270640937,0.0,0.11947683957248917,0,0,0,0,0,Equipment,217878.18990625915,1.1888859879712645,BB+,NY
