default_event_id,instrument_id,product_type,default_date,default_balance,recovery_amount,collection_cost,collateral_proceeds,recovery_horizon_months,realized_lgd
DEF-00031,HIST-000031,Commercial Real Estate,2025-03-17,936936.580272126,678497.3159365461,13515.716183738557,289961.9335686944,23,0.27583431982185846
DEF-00032,HIST-000032,Credit Card,2023-08-04,600459.6142895347,12009.192285790705,716.2744074753983,0.0,27,0.98
DEF-00033,HIST-000033,Credit Card,2024-04-02,333725.8301399368,78396.99573796352,5168.743282936487,0.0,25,0.7650856222154265
DEF-00034,HIST-000034,Auto Loan,2024-12-24,49664.9421779076,28807.707438924786,1320.8173857759457,9558.640156773025,5,0.4199589051018913
DEF-00035,HIST-000035,Commercial Term Loan,2025-03-04,894426.5039425929,717232.8821159413,7262.142004551129,381282.9734345225,29,0.19810864396972797
DEF-00036,HIST-000036,Credit Card,2025-09-26,136053.97190569766,62367.48630883716,4846.434231070133,0.0,21,0.5415974599252009
DEF-00037,HIST-000037,Revolving Credit Facility,2025-11-19,2796254.0254989048,342822.72515535296,21121.279696118003,0.0,13,0.8773992913271937
DEF-00038,HIST-000038,Revolving Credit Facility,2024-08-02,1018223.2690917624,754638.5696185254,41084.88087126756,0.0,24,0.25886729116724067
DEF-00039,HIST-000039,Equipment Lease,2026-02-22,488143.5933951954,260581.60360195077,9088.76406699998,156147.9958000661,19,0.4661783804443236
DEF-00040,HIST-000040,Mortgage,2023-05-21,72454.45092361665,34656.32481192308,2658.8866626358704,8741.168429631234,21,0.5216812166797224
DEF-00041,HIST-000041,Credit Card,2023-03-25,103269.9803813949,59839.072084595064,4036.334422227437,0.0,20,0.4205569531087501
DEF-00042,HIST-000042,Revolving Credit Facility,2023-07-10,236226.43782842267,66781.28124095297,2631.322322450421,0.0,18,0.7172997152441594
DEF-00043,HIST-000043,Personal Loan,2026-03-02,36135.977659018274,20557.607412745932,1354.316875356739,0.0,16,0.43110415866621854
DEF-00044,HIST-000044,Auto Loan,2025-09-16,271723.5667454302,221263.247627385,9898.72648103467,78872.87369180947,16,0.18570461047024298
DEF-00045,HIST-000045,Equipment Lease,2025-08-17,1466588.8155742376,792155.3963296846,53992.124757104844,213920.10340461408,11,0.45986537745447137
DEF-00046,HIST-000046,Commercial Term Loan,2024-05-11,1419926.8192477012,579331.6423565255,22124.805049133818,178803.16881373228,23,0.5919989435346645
DEF-00047,HIST-000047,Commercial Term Loan,2024-06-19,351397.71527892,301296.77002415765,11538.721808319666,87790.48125393222,10,0.14257618384056664
DEF-00048,HIST-000048,Commercial Real Estate,2025-10-23,4704995.540028143,3966766.884308226,118616.27969431273,3226215.7969069667,22,0.15690315738652139
DEF-00049,HIST-000049,Revolving Credit Facility,2025-06-27,904577.5007796845,549701.7815075569,21915.216332221335,0.0,9,0.39231101698444726
DEF-00050,HIST-000050,Commercial Real Estate,2025-10-09,737304.2470925994,304470.3392713677,6776.46377272115,255477.82118162158,20,0.5870492534500094
DEF-00051,HIST-000051,Credit Card,2023-08-05,49453.085811205856,14959.375573871665,269.19459335656256,0.0,27,0.6975036981315748
DEF-00052,HIST-000052,Personal Loan,2025-08-13,53920.08800066672,23211.990351097236,1547.3015874669127,0.0,17,0.5695112672885434
DEF-00053,HIST-000053,Revolving Credit Facility,2026-01-07,1937076.4870572954,1182285.7687097108,30585.81469782131,0.0,15,0.38965457656977853
DEF-00054,HIST-000054,Commercial Term Loan,2023-05-03,508609.22694496776,305737.42867837165,12481.06564362707,91715.47151952589,22,0.3988755758230614
DEF-00055,HIST-000055,Commercial Term Loan,2026-02-16,6599490.818970913,6092225.197423309,208766.48664858405,4637943.92847845,22,0.07686435748791663
DEF-00056,HIST-000056,Auto Loan,2026-01-12,193950.70879666533,118550.17112360778,4769.633802736872,71027.31496725895,16,0.3887613411720306
DEF-00057,HIST-000057,Revolving Credit Facility,2023-09-12,747465.5929843881,477321.6420363977,11121.605746209727,0.0,5,0.3614132255498117
DEF-00058,HIST-000058,Commercial Term Loan,2025-07-19,508725.2543808986,423531.0081794846,21196.597731880996,213278.12438671387,11,0.16746612335000455
DEF-00059,HIST-000059,Revolving Credit Facility,2023-09-03,2901274.832030179,1687575.8224017762,53708.28539971018,0.0,15,0.41833300183392547
DEF-00060,HIST-000060,Credit Card,2023-05-12,62623.019349375194,23793.052991480326,1787.388117037411,0.0,23,0.6200589936627239
DEF-00061,HIST-000061,Personal Loan,2026-04-10,53884.41622366896,16350.812531983189,1015.8837377772513,0.0,14,0.6965576751520781
DEF-00062,HIST-000062,Credit Card,2024-02-24,79757.07560386919,30715.28354961977,730.2941194478144,0.0,13,0.6148895465754802
DEF-00063,HIST-000063,Mortgage,2024-10-26,196713.8387942719,106054.8835180222,3999.3457475750297,50049.281325015596,17,0.460867195881745
DEF-00064,HIST-000064,Commercial Term Loan,2026-02-18,632108.5933168964,95421.83999450046,2684.8054137730937,34891.05714906924,11,0.8490420142941129
DEF-00065,HIST-000065,Equipment Lease,2025-08-10,1491976.7422400434,1152347.8671233426,87159.81448381237,798500.3664818893,27,0.22763684278803453
DEF-00066,HIST-000066,Commercial Term Loan,2024-06-21,2110078.315909969,1112844.6268870474,16972.354166672998,622811.1068596389,24,0.4726050599656846
DEF-00067,HIST-000067,Commercial Term Loan,2023-08-04,804988.6523168318,444051.7043214535,32189.289736889306,268775.57675280236,15,0.44837520001874354
DEF-00068,HIST-000068,Auto Loan,2024-08-01,114706.66990314933,104876.04105455798,4097.050001853368,52064.770074737055,11,0.08570232975023753
DEF-00069,HIST-000069,Credit Card,2025-02-20,143378.30818985467,27320.06985079021,982.6677761966042,0.0,26,0.8094546504579041
DEF-00070,HIST-000070,Credit Card,2023-12-18,92232.11754578097,34319.10140859183,1679.998737442301,0.0,7,0.6279050907450221
DEF-00071,HIST-000071,Commercial Term Loan,2023-10-31,1036359.4402249766,748911.5712570817,56973.392337914986,395413.6492403666,14,0.2773631018457213
DEF-00072,HIST-000072,Mortgage,2025-02-07,108032.94519939045,83163.86033425292,1437.344070343656,66465.46367378053,5,0.23019908250430485
DEF-00073,HIST-000073,Equipment Lease,2026-02-09,835047.0199121553,762561.9683676994,32223.19534457815,522549.4277375461,27,0.08680355694471088
DEF-00074,HIST-000074,Auto Loan,2023-09-13,43540.14765593113,13130.388128425704,908.7533734929916,6230.321828882325,16,0.6984303261397632
DEF-00075,HIST-000075,Commercial Term Loan,2025-06-25,5049437.842266167,3326386.0444696234,151312.11305704823,1753222.4742541062,22,0.3412363616745196
DEF-00076,HIST-000076,Mortgage,2024-08-01,77777.11950239156,32571.309791454343,2599.94921222609,13996.52494796487,12,0.5812224726263768
DEF-00077,HIST-000077,Mortgage,2023-02-15,188254.3452974358,110936.85231849832,8671.893596998167,61610.757988134545,5,0.41070761398244665
DEF-00078,HIST-000078,Personal Loan,2025-03-15,68904.24472761412,27863.63109494626,1626.3825923479283,0.0,16,0.5956180754161926
DEF-00079,HIST-000079,Equipment Lease,2023-09-01,332886.3520697998,105392.99199469875,5724.002399300186,81073.03649132149,24,0.6833964764869667
DEF-00080,HIST-000080,Revolving Credit Facility,2023-01-22,376061.7464750929,79032.90743078446,4860.332055436049,0.0,15,0.7898406094967734
DEF-00081,HIST-000081,Personal Loan,2023-05-30,280641.74297610036,203171.8178577018,13203.617124928238,0.0,7,0.276045624207073
DEF-00082,HIST-000082,Revolving Credit Facility,2025-11-06,3980719.8760976023,2581485.5668184347,136075.99957793328,0.0,28,0.35150283185735515
DEF-00083,HIST-000083,Personal Loan,2025-11-23,84628.02036483721,42857.67274784426,922.1236895242454,0.0,29,0.49357585628162054
DEF-00084,HIST-000084,Commercial Real Estate,2023-03-09,1564969.4246918631,1179231.917011761,22987.55873989678,828553.3620221696,18,0.24648245620265224
DEF-00085,HIST-000085,Personal Loan,2024-08-31,26806.63944409017,6561.617824068786,319.1001201981979,0.0,28,0.7552241549055725
DEF-00086,HIST-000086,Commercial Term Loan,2025-03-06,463118.4474684314,387028.638386932,21545.61189693139,177350.76846413143,16,0.16429880843104616
DEF-00087,HIST-000087,Commercial Term Loan,2025-03-29,912631.891361162,560094.2924480484,43895.961242520825,290131.48442265944,4,0.38628674085376835
DEF-00088,HIST-000088,Auto Loan,2024-08-13,128703.68337635105,111539.85276367624,5279.941474173869,44228.88915394307,25,0.13335928049926046
DEF-00089,HIST-000089,Commercial Real Estate,2025-05-28,130378.80300051604,95460.89546377133,3906.951599521576,29425.136452877698,6,0.2678188994924772
DEF-00090,HIST-000090,Credit Card,2025-03-18,159757.12545509322,79279.21315851992,5076.379267846217,0.0,16,0.5037516296523197
DEF-00091,HIST-000091,Commercial Real Estate,2024-09-08,3068845.5524654645,2181396.5917702722,126407.92172542278,1206370.1061787377,21,0.28918006642016536
DEF-00092,HIST-000092,Revolving Credit Facility,2025-10-10,228251.93344857916,115851.10369878414,7085.666297274873,0.0,11,0.49244196117671357
DEF-00093,HIST-000093,Equipment Lease,2023-01-25,157813.19181621948,101187.11996057605,3718.324908494955,45739.72475204975,22,0.3588171001673106
DEF-00094,HIST-000094,Mortgage,2023-09-26,134294.83533658658,104193.80885615393,2400.240540125327,33150.415329759526,25,0.22414135588304393
DEF-00095,HIST-000095,Credit Card,2023-05-30,48646.90698487886,21509.731749792165,1133.989927881263,0.0,22,0.5578396843096698
DEF-00096,HIST-000096,Equipment Lease,2025-11-22,322600.435182521,193674.90442815996,9400.585358380355,135738.1680011263,27,0.39964462751396324
DEF-00097,HIST-000097,Credit Card,2025-09-22,25888.179481826246,16300.128451595116,1036.0767170402005,0.0,2,0.37036405116713733
DEF-00098,HIST-000098,Equipment Lease,2025-12-01,1662237.461477845,527917.4824202667,18821.122736804264,192249.1504547446,24,0.6824054958123064
DEF-00099,HIST-000099,Equipment Lease,2025-07-24,1619592.6433111625,697865.6699668644,31827.61657732783,180903.92563361244,3,0.5691103730008807
DEF-00100,HIST-000100,Personal Loan,2023-06-02,410221.23813208553,207346.99462106804,8213.45249065484,0.0,5,0.494548367204954
DEF-00101,HIST-000101,Credit Card,2024-10-06,107724.33452486142,75315.2398309592,5892.9578304899305,0.0,10,0.30085212256681537
DEF-00102,HIST-000102,Mortgage,2024-09-17,46848.35426818245,30422.947762316162,1935.0478305214817,21753.886072711506,22,0.3506079725200032
DEF-00103,HIST-000103,Equipment Lease,2025-07-23,173431.40783305708,97771.61612260276,3039.321438453266,38203.626541312166,21,0.43625196067879185
DEF-00104,HIST-000104,Mortgage,2024-04-06,54989.238300492965,18840.83232045853,464.46593498280885,11223.493064700553,8,0.6573723713447105
DEF-00105,HIST-000105,Revolving Credit Facility,2025-11-23,98929.09846094943,67012.92527734247,5114.7891873313665,0.0,17,0.32261663838173277
DEF-00106,HIST-000106,Revolving Credit Facility,2023-11-17,1426456.0947402094,285928.0440350627,5002.116795704067,0.0,10,0.7995535613823874
DEF-00107,HIST-000107,Auto Loan,2023-10-23,33427.649761823115,29936.639086207935,2014.3575195638298,8983.823384762232,28,0.10443482268389014
DEF-00108,HIST-000108,Equipment Lease,2025-09-09,576304.7965799948,455255.4703225828,29775.99403256078,268895.3445955455,29,0.210043933307103
DEF-00109,HIST-000109,Mortgage,2023-03-30,79623.4545004132,40075.90083545814,3120.7592317309422,10986.526881984575,15,0.49668221396686363
DEF-00110,HIST-000110,Equipment Lease,2024-01-30,2527036.8937924663,2039778.4773738824,79309.00590625897,1554224.1706369265,15,0.19281808572542353
DEF-00111,HIST-000111,Commercial Term Loan,2025-03-24,1124378.9705603062,1004287.8423055108,17742.787642522955,634799.1060190108,22,0.10680662961434709
DEF-00112,HIST-000112,Commercial Real Estate,2025-07-04,2236658.6654785043,1301156.4402398153,31821.92870115567,326192.2049343623,5,0.4182588249506325
DEF-00113,HIST-000113,Commercial Term Loan,2023-10-25,292795.4180909502,108431.35089625543,4444.123680871577,48836.02803414921,15,0.6296685528645338
DEF-00114,HIST-000114,Mortgage,2025-06-27,479061.9650176138,348040.7830991565,25223.16909296206,209782.47286994001,23,0.27349527093773757
DEF-00115,HIST-000115,Credit Card,2025-01-01,155075.03255787506,3101.500651157504,82.2932702591842,0.0,16,0.98
DEF-00116,HIST-000116,Commercial Real Estate,2024-11-19,1140704.1346032887,850535.0779804381,18828.181087871453,246934.46009331054,19,0.2543771411188625
DEF-00117,HIST-000117,Revolving Credit Facility,2024-04-29,6685194.430326132,3741773.6372934408,288084.00892567873,0.0,11,0.44028948203516927
DEF-00118,HIST-000118,Personal Loan,2023-09-06,96966.08125103122,25099.921269916456,1048.641802511056,0.0,6,0.7411474100419055
DEF-00119,HIST-000119,Credit Card,2025-04-13,99711.43104480281,25902.87601192294,402.0037747882798,0.0,26,0.7402216000662538
DEF-00120,HIST-000120,Commercial Term Loan,2024-07-04,182759.03428046175,100182.82595890487,5474.565667572262,27010.516392307476,17,0.4518310607553089
DEF-00121,HIST-000121,Commercial Real Estate,2023-03-08,642873.3469347149,505873.40579707775,23651.843597097268,246950.45646444077,2,0.21310564793340206
DEF-00122,HIST-000122,Mortgage,2023-03-02,17597.131985849188,10694.521871125273,619.8711024952277,4435.3215857864825,2,0.39225767700524605
DEF-00123,HIST-000123,Auto Loan,2023-08-29,20034.75063943115,8530.968074791845,244.45125620149344,3541.1126001289554,9,0.5741914522259277
DEF-00124,HIST-000124,Mortgage,2026-03-16,119056.90404717697,82718.1248014492,3378.709901274809,66505.92844338393,17,0.30522194018524385
DEF-00125,HIST-000125,Commercial Term Loan,2024-11-10,120697.13113991191,49852.142928662375,1125.346025132802,39350.1614904174,12,0.5869649720930495
DEF-00126,HIST-000126,Credit Card,2026-03-09,40205.1725640722,16522.914136950127,182.41474649682223,0.0,16,0.5890351145584887
DEF-00127,HIST-000127,Personal Loan,2024-06-30,28615.640182417712,20191.47613038226,352.18380690838546,0.0,29,0.2943902005453473
DEF-00128,HIST-000128,Mortgage,2024-06-16,40206.034949284505,21498.09656709991,445.562764407473,6420.635915294832,14,0.465301748998194
DEF-00129,HIST-000129,Auto Loan,2023-07-26,296636.6938793589,86003.28648147467,5246.688727276555,68743.0075775762,18,0.7100719895548326
DEF-00130,HIST-000130,Revolving Credit Facility,2023-03-07,1732376.7723129545,605230.7206772222,34223.17774604046,0.0,16,0.6506356294138265
DEF-00131,HIST-000131,Personal Loan,2026-01-05,352055.8488862627,52517.101692588316,1668.9920385010053,0.0,2,0.8508273563449451
DEF-00132,HIST-000132,Personal Loan,2024-05-15,23491.46036799696,7516.240814409619,377.32885650128924,0.0,5,0.680043696872537
DEF-00133,HIST-000133,Revolving Credit Facility,2025-10-16,519812.5735021441,155908.65064918756,1691.158197711929,0.0,22,0.7000675655096587
DEF-00134,HIST-000134,Auto Loan,2023-07-29,506013.868831787,122029.22711478418,6272.018321633511,57951.93226826821,2,0.7588421293738293
DEF-00135,HIST-000135,Auto Loan,2025-03-11,53934.87744887406,25369.98996650147,1062.6695282589162,19289.35894601164,22,0.5296181030438015
DEF-00136,HIST-000136,Commercial Real Estate,2023-04-21,609112.8722608958,181513.57344107676,6498.238634804491,56216.59826103499,7,0.7020033860598981
DEF-00137,HIST-000137,Auto Loan,2024-07-18,87812.15426862291,50961.94121447114,1501.3379155920616,28689.429170311785,7,0.419648206573143
DEF-00138,HIST-000138,Revolving Credit Facility,2023-01-08,586331.7932247195,200011.891449887,14828.541581975309,0.0,14,0.6588759235622248
DEF-00139,HIST-000139,Mortgage,2023-10-13,45180.45147322455,29188.748327710655,1945.259862757268,16140.97379532372,24,0.3539518226149447
DEF-00140,HIST-000140,Commercial Real Estate,2023-03-23,2856951.228637097,1560031.0427126156,108427.34921734869,635261.9932774327,28,0.4539525116580918
DEF-00141,HIST-000141,Equipment Lease,2023-09-18,1107826.7373793612,584033.1694912774,17049.389272487828,190632.26408566372,29,0.4728118127272797
DEF-00142,HIST-000142,Personal Loan,2023-01-17,73794.2852861219,4770.205773910256,167.29560983732287,0.0,20,0.9353580598360052
DEF-00143,HIST-000143,Auto Loan,2023-08-26,378292.25959749456,238382.9715306364,8377.302701165157,166340.44498131785,16,0.3698444377786702
DEF-00144,HIST-000144,Auto Loan,2024-10-09,551164.4926247735,412357.9036047787,4948.502556020757,263134.30417050805,25,0.25184240073043457
DEF-00145,HIST-000145,Commercial Term Loan,2025-05-27,1242474.5698056214,495662.85140772903,16385.198649731126,161845.04672182578,2,0.6010680110054302
DEF-00146,HIST-000146,Credit Card,2023-04-21,23216.759394641256,9067.377578797377,358.0868341608486,0.0,3,0.609446890297263
DEF-00147,HIST-000147,Revolving Credit Facility,2024-08-19,1548644.2491431097,722347.043598302,21965.867424385087,0.0,6,0.5335616659552453
DEF-00148,HIST-000148,Mortgage,2023-12-21,194920.0308032165,125087.37573599111,4752.583848086668,42838.8926084454,11,0.3582631029733709
DEF-00149,HIST-000149,Credit Card,2025-04-24,141979.05535076038,33627.91868842369,2144.1403672043994,0.0,28,0.7631487362319347
DEF-00150,HIST-000150,Personal Loan,2025-12-18,95089.35532255725,72083.10625225598,4248.647549377607,0.0,23,0.24194347508467848
DEF-00151,HIST-000151,Auto Loan,2024-04-05,39661.457386343616,12500.814668206502,197.5061198155467,5828.822417408373,25,0.6848120192247189
DEF-00152,HIST-000152,Credit Card,2025-11-29,107815.7139660841,47724.13862408176,1146.776220626817,0.0,29,0.5573545184786841
DEF-00153,HIST-000153,Commercial Real Estate,2024-12-06,648852.5678174116,238081.82567551333,10925.072725145308,112875.19288455568,24,0.6330725383789958
DEF-00154,HIST-000154,Revolving Credit Facility,2023-03-26,2106967.6990588587,1053034.7270410203,53703.28290736212,0.0,26,0.5002131605950151
DEF-00155,HIST-000155,Commercial Real Estate,2024-09-10,182951.41298038658,143441.23418916305,5679.979792786653,71804.61885689807,4,0.21595995432655807
DEF-00156,HIST-000156,Commercial Real Estate,2024-05-02,1177263.9120740031,955049.6014459195,39943.30340212445,363023.851699857,11,0.18875488184854436
DEF-00157,HIST-000157,Commercial Real Estate,2024-11-23,534912.0219245928,361428.7862747616,4835.632228894311,154410.63438062766,11,0.32432106316407927
DEF-00158,HIST-000158,Commercial Term Loan,2026-02-03,1354055.274441923,562104.0429433703,10411.33742960998,145737.64849161304,20,0.5848736358454475
DEF-00159,HIST-000159,Revolving Credit Facility,2024-04-30,703882.7248591244,223160.5632815168,15817.927009323574,0.0,3,0.6829577493520951
DEF-00160,HIST-000160,Personal Loan,2023-12-17,130559.61805621041,92860.8561267652,6737.916284115642,0.0,8,0.2887474893899782
DEF-00161,HIST-000161,Mortgage,2024-09-13,153452.6732388247,84715.33876996308,5291.993919387253,66131.68849539207,20,0.4479383318522115
DEF-00162,HIST-000162,Revolving Credit Facility,2023-08-07,1053525.4522255983,206116.4771155619,15326.210664324502,0.0,25,0.8043554840747931
DEF-00163,HIST-000163,Mortgage,2024-06-09,67467.44439712934,41021.270985092204,1117.9288000317729,13952.345541389388,23,0.39198421769718594
DEF-00164,HIST-000164,Revolving Credit Facility,2023-11-12,569945.5399675898,198612.06523738932,14446.159646488448,0.0,29,0.6515244855698257
DEF-00165,HIST-000165,Credit Card,2025-02-18,83392.75595496439,62368.65102381756,4022.7225068763005,0.0,26,0.25210948709382786
DEF-00166,HIST-000166,Commercial Real Estate,2023-08-11,2175841.789662109,463083.41706688824,19699.895018077234,166758.41406847397,25,0.7871704554682712
DEF-00167,HIST-000167,Equipment Lease,2023-03-18,709027.3953819079,388381.15344547736,9639.355138089853,310056.194654374,12,0.4522339249863806
DEF-00168,HIST-000168,Equipment Lease,2024-11-11,757039.5866113508,632611.836359358,45782.93979800032,386839.2267054621,19,0.1643609560881148
DEF-00169,HIST-000169,Auto Loan,2026-04-08,961826.0286519472,913734.7272193497,58417.50415544426,233181.7209412238,8,0.05
DEF-00170,HIST-000170,Equipment Lease,2026-02-16,1385953.6084887946,695592.6317929082,21488.293237990307,255674.5161262033,2,0.4981126153628165
DEF-00171,HIST-000171,Mortgage,2026-01-07,62881.548451646,38708.379926758906,922.8773264218765,22547.41314229598,23,0.3844238750493799
DEF-00172,HIST-000172,Commercial Term Loan,2023-01-26,430793.2330120951,260457.51462230986,15297.631124469324,176971.07455960408,5,0.3954001719079994
DEF-00173,HIST-000173,Personal Loan,2026-01-08,30184.88926169417,17070.962748524456,396.8137420371731,0.0,23,0.4344533584163852
DEF-00174,HIST-000174,Credit Card,2024-04-05,65950.5339545474,17407.852665028295,957.427247365987,0.0,9,0.7360468275052079
DEF-00175,HIST-000175,Auto Loan,2026-03-26,89809.97544156646,62931.72738494391,3690.2897317260936,27380.762936835465,14,0.2992790937139326
DEF-00176,HIST-000176,Credit Card,2023-01-21,64308.64615372033,44898.11742522486,2635.7295598241035,0.0,24,0.3018338884338735
DEF-00177,HIST-000177,Commercial Real Estate,2024-05-07,2174425.7363869403,1890068.3007318724,58276.850103959594,507004.96180540876,15,0.1307735789255147
DEF-00178,HIST-000178,Commercial Real Estate,2024-05-04,402936.82731456443,297521.65084488824,14519.689668610516,159003.92174197227,29,0.2616171303383515
DEF-00179,HIST-000179,Credit Card,2024-09-16,242722.4681099987,113602.53218196485,4763.545748300281,0.0,5,0.5319653220958447
DEF-00180,HIST-000180,Commercial Real Estate,2024-05-15,1316117.3620153822,1168923.039321704,53905.16936703196,818831.8381275245,29,0.11183981530969096
DEF-00181,HIST-000181,Auto Loan,2024-02-21,37734.56459263475,21911.039195323923,901.1251836100348,10685.577967626139,17,0.4193376965690324
DEF-00182,HIST-000182,Commercial Real Estate,2024-11-22,1101181.770530847,382201.05427035183,23660.11690178684,207831.3527869153,19,0.652917379765464
DEF-00183,HIST-000183,Mortgage,2023-07-24,33306.88145147288,6793.355500333817,328.59568872220666,3199.2222192950185,16,0.7960374792148724
DEF-00184,HIST-000184,Equipment Lease,2024-09-22,759815.0520113326,582173.2640548456,30872.916530354025,472953.3541835852,28,0.23379608956975162
DEF-00185,HIST-000185,Commercial Term Loan,2023-02-28,2002038.9457454733,806544.3507015359,59563.243485644634,374466.7927743438,16,0.5971385309883602
DEF-00186,HIST-000186,Commercial Term Loan,2024-08-11,332498.3921483344,198387.65261774274,12902.542205491947,56166.19931090194,27,0.40334252043769914
DEF-00187,HIST-000187,Revolving Credit Facility,2023-05-07,2306703.9166896814,1227428.5770794281,95377.83242163112,0.0,21,0.4678863775282899
DEF-00188,HIST-000188,Commercial Term Loan,2023-05-03,407599.3828653367,298815.003048504,23305.617510297725,112667.55987649958,29,0.2668904428954278
DEF-00189,HIST-000189,Commercial Real Estate,2025-07-04,1874227.9337787968,1214159.84000246,64432.65253104825,325832.87507808115,20,0.35218133391359463
DEF-00190,HIST-000190,Mortgage,2024-10-28,158998.6873454296,20015.34639245862,979.8063689853249,11369.797751441763,24,0.8741162790295579
DEF-00191,HIST-000191,Commercial Term Loan,2024-05-15,936102.7235307652,576799.543375165,15388.870239537808,401965.59599928895,17,0.3838287947719998
DEF-00192,HIST-000192,Personal Loan,2023-03-18,641735.6799518887,136342.80263649268,4079.658977658899,0.0,13,0.7875405608634471
DEF-00193,HIST-000193,Revolving Credit Facility,2023-05-01,1017395.0827845122,561311.6118112652,8417.30888279731,0.0,22,0.44828550745988516
DEF-00194,HIST-000194,Commercial Real Estate,2025-10-13,1368704.4689381924,531912.105297826,11470.656280544541,393076.74229411833,7,0.6113754887419411
DEF-00195,HIST-000195,Auto Loan,2024-04-30,141801.4223339588,89633.89332954207,5290.319870495408,52946.71259945431,19,0.3678914368119393
DEF-00196,HIST-000196,Commercial Term Loan,2024-12-05,441914.27232481685,297704.31208537973,13147.841593376585,126403.65315361386,8,0.32633017141713755
