forecast_vintage,scenario,period,geography,variable,value
2026-06-30,Baseline,2028Q2,US,bbb_spread,1.7
2026-06-30,Baseline,2028Q2,US,corporate_default_rate,2.0
2026-06-30,Baseline,2028Q3,US,unemployment_rate,4.1
2026-06-30,Baseline,2028Q3,US,real_gdp_growth,2.2
2026-06-30,Baseline,2028Q3,US,hpi_growth,3.0
2026-06-30,Baseline,2028Q3,US,commercial_property_price_growth,1.0
2026-06-30,Baseline,2028Q3,US,bbb_spread,1.7
2026-06-30,Baseline,2028Q3,US,corporate_default_rate,2.0
2026-06-30,Baseline,2028Q4,US,unemployment_rate,4.1
2026-06-30,Baseline,2028Q4,US,real_gdp_growth,2.2
2026-06-30,Baseline,2028Q4,US,hpi_growth,3.0
2026-06-30,Baseline,2028Q4,US,commercial_property_price_growth,1.0
2026-06-30,Baseline,2028Q4,US,bbb_spread,1.7
2026-06-30,Baseline,2028Q4,US,corporate_default_rate,2.0
2026-06-30,Baseline,2029Q1,US,unemployment_rate,4.1
2026-06-30,Baseline,2029Q1,US,real_gdp_growth,2.2
2026-06-30,Baseline,2029Q1,US,hpi_growth,3.0
2026-06-30,Baseline,2029Q1,US,commercial_property_price_growth,1.0
2026-06-30,Baseline,2029Q1,US,bbb_spread,1.7
2026-06-30,Baseline,2029Q1,US,corporate_default_rate,2.0
2026-06-30,Baseline,2029Q2,US,unemployment_rate,4.1
2026-06-30,Baseline,2029Q2,US,real_gdp_growth,2.2
2026-06-30,Baseline,2029Q2,US,hpi_growth,3.0
2026-06-30,Baseline,2029Q2,US,commercial_property_price_growth,1.0
2026-06-30,Baseline,2029Q2,US,bbb_spread,1.7
2026-06-30,Baseline,2029Q2,US,corporate_default_rate,2.0
2026-06-30,Downside,2026Q3,US,unemployment_rate,4.387558982007174
2026-06-30,Downside,2026Q3,US,real_gdp_growth,1.801841409528529
2026-06-30,Downside,2026Q3,US,hpi_growth,2.1152031322856195
2026-06-30,Downside,2026Q3,US,commercial_property_price_growth,-0.15023592802869468
2026-06-30,Downside,2026Q3,US,bbb_spread,1.9654390603143141
2026-06-30,Downside,2026Q3,US,corporate_default_rate,2.353918747085752
2026-06-30,Downside,2026Q4,US,unemployment_rate,4.611510142373576
2026-06-30,Downside,2026Q4,US,real_gdp_growth,1.4917551874827404
2026-06-30,Downside,2026Q4,US,hpi_growth,1.4261226388505337
2026-06-30,Downside,2026Q4,US,commercial_property_price_growth,-1.0460405694943065
2026-06-30,Downside,2026Q4,US,bbb_spread,2.17216320834484
2026-06-30,Downside,2026Q4,US,corporate_default_rate,2.6295509444597864
2026-06-30,Downside,2027Q1,US,unemployment_rate,4.78592348143668
2026-06-30,Downside,2027Q1,US,real_gdp_growth,1.2502597949338266
2026-06-30,Downside,2027Q1,US,hpi_growth,0.8894662109640588
2026-06-30,Downside,2027Q1,US,commercial_property_price_growth,-1.7436939257467237
2026-06-30,Downside,2027Q1,US,bbb_spread,2.333160136710782
2026-06-30,Downside,2027Q1,US,corporate_default_rate,2.8442135156143764
2026-06-30,Downside,2027Q2,US,unemployment_rate,4.921756726477125
2026-06-30,Downside,2027Q2,US,real_gdp_growth,1.0621829941085963
2026-06-30,Downside,2027Q2,US,hpi_growth,0.47151776468576934
2026-06-30,Downside,2027Q2,US,commercial_property_price_growth,-2.2870269059084998
2026-06-30,Downside,2027Q2,US,bbb_spread,2.4585446705942693
2026-06-30,Downside,2027Q2,US,corporate_default_rate,3.0113928941256924
2026-06-30,Downside,2027Q3,US,unemployment_rate,5.027543764081752
2026-06-30,Downside,2027Q3,US,real_gdp_growth,0.9157086343483425
2026-06-30,Downside,2027Q3,US,hpi_growth,0.1460191874407606
2026-06-30,Downside,2027Q3,US,commercial_property_price_growth,-2.7101750563270115
2026-06-30,Downside,2027Q3,US,bbb_spread,2.556194243767772
2026-06-30,Downside,2027Q3,US,corporate_default_rate,3.141592325023696
2026-06-30,Downside,2027Q4,US,unemployment_rate,5.109930791807041
2026-06-30,Downside,2027Q4,US,real_gdp_growth,0.8016342882671739
2026-06-30,Downside,2027Q4,US,hpi_growth,-0.10747935940628084
2026-06-30,Downside,2027Q4,US,commercial_property_price_growth,-3.039723167228165
2026-06-30,Downside,2027Q4,US,bbb_spread,2.632243807821884
2026-06-30,Downside,2027Q4,US,corporate_default_rate,3.2429917437625124
2026-06-30,Downside,2028Q1,US,unemployment_rate,5.174093873514421
2026-06-30,Downside,2028Q1,US,real_gdp_growth,0.7127930982108015
2026-06-30,Downside,2028Q1,US,hpi_growth,-0.30490422619821933
2026-06-30,Downside,2028Q1,US,commercial_property_price_growth,-3.2963754940576857
2026-06-30,Downside,2028Q1,US,bbb_spread,2.6914712678594657
2026-06-30,Downside,2028Q1,US,corporate_default_rate,3.321961690479288
2026-06-30,Downside,2028Q2,US,unemployment_rate,5.224064131792403
2026-06-30,Downside,2028Q2,US,real_gdp_growth,0.643603509825903
2026-06-30,Downside,2028Q2,US,hpi_growth,-0.4586588670535492
2026-06-30,Downside,2028Q2,US,commercial_property_price_growth,-3.4962565271696144
2026-06-30,Downside,2028Q2,US,bbb_spread,2.737597660116065
2026-06-30,Downside,2028Q2,US,corporate_default_rate,3.38346354682142
2026-06-30,Downside,2028Q3,US,unemployment_rate,5.262981008069576
2026-06-30,Downside,2028Q3,US,real_gdp_growth,0.589718604211356
2026-06-30,Downside,2028Q3,US,hpi_growth,-0.5784031017525426
2026-06-30,Downside,2028Q3,US,commercial_property_price_growth,-3.6519240322783055
2026-06-30,Downside,2028Q3,US,bbb_spread,2.7735209305257627
2026-06-30,Downside,2028Q3,US,corporate_default_rate,3.4313612407010172
2026-06-30,Downside,2028Q4,US,unemployment_rate,5.293289501788931
2026-06-30,Downside,2028Q4,US,real_gdp_growth,0.547752997523018
2026-06-30,Downside,2028Q4,US,hpi_growth,-0.6716600055044046
2026-06-30,Downside,2028Q4,US,commercial_property_price_growth,-3.7731580071557262
2026-06-30,Downside,2028Q4,US,bbb_spread,2.8014980016513213
2026-06-30,Downside,2028Q4,US,corporate_default_rate,3.468664002201762
2026-06-30,Downside,2029Q1,US,unemployment_rate,5.31689378043128
2026-06-30,Downside,2029Q1,US,real_gdp_growth,0.5150701501720738
2026-06-30,Downside,2029Q1,US,hpi_growth,-0.7442885551731697
2026-06-30,Downside,2029Q1,US,commercial_property_price_growth,-3.867575121725121
2026-06-30,Downside,2029Q1,US,bbb_spread,2.8232865665519506
2026-06-30,Downside,2029Q1,US,corporate_default_rate,3.497715422069268
2026-06-30,Downside,2029Q2,US,unemployment_rate,5.335276811121776
2026-06-30,Downside,2029Q2,US,real_gdp_growth,0.4896167230621553
2026-06-30,Downside,2029Q2,US,hpi_growth,-0.8008517265285442
2026-06-30,Downside,2029Q2,US,commercial_property_price_growth,-3.9411072444871076
2026-06-30,Downside,2029Q2,US,bbb_spread,2.840255517958563
2026-06-30,Downside,2029Q2,US,corporate_default_rate,3.520340690611418
2026-06-30,Severe,2026Q3,US,unemployment_rate,4.675117964014347
2026-06-30,Severe,2026Q3,US,real_gdp_growth,1.4036828190570576
2026-06-30,Severe,2026Q3,US,hpi_growth,1.230406264571239
2026-06-30,Severe,2026Q3,US,commercial_property_price_growth,-1.3004718560573894
2026-06-30,Severe,2026Q3,US,bbb_spread,2.230878120628628
2026-06-30,Severe,2026Q3,US,corporate_default_rate,2.707837494171504
2026-06-30,Severe,2026Q4,US,unemployment_rate,5.123020284747152
2026-06-30,Severe,2026Q4,US,real_gdp_growth,0.7835103749654804
2026-06-30,Severe,2026Q4,US,hpi_growth,-0.1477547222989326
2026-06-30,Severe,2026Q4,US,commercial_property_price_growth,-3.092081138988613
2026-06-30,Severe,2026Q4,US,bbb_spread,2.6443264166896796
2026-06-30,Severe,2026Q4,US,corporate_default_rate,3.259101888919573
2026-06-30,Severe,2027Q1,US,unemployment_rate,5.471846962873362
2026-06-30,Severe,2027Q1,US,real_gdp_growth,0.3005195898676529
2026-06-30,Severe,2027Q1,US,hpi_growth,-1.2210675780718825
2026-06-30,Severe,2027Q1,US,commercial_property_price_growth,-4.487387851493447
2026-06-30,Severe,2027Q1,US,bbb_spread,2.9663202734215646
2026-06-30,Severe,2027Q1,US,corporate_default_rate,3.688427031228753
2026-06-30,Severe,2027Q2,US,unemployment_rate,5.743513452954249
2026-06-30,Severe,2027Q2,US,real_gdp_growth,-0.0756340117828076
2026-06-30,Severe,2027Q2,US,hpi_growth,-2.0569644706284613
2026-06-30,Severe,2027Q2,US,commercial_property_price_growth,-5.5740538118169995
2026-06-30,Severe,2027Q2,US,bbb_spread,3.2170893411885384
2026-06-30,Severe,2027Q2,US,corporate_default_rate,4.022785788251385
2026-06-30,Severe,2027Q3,US,unemployment_rate,5.955087528163506
2026-06-30,Severe,2027Q3,US,real_gdp_growth,-0.3685827313033152
2026-06-30,Severe,2027Q3,US,hpi_growth,-2.707961625118479
2026-06-30,Severe,2027Q3,US,commercial_property_price_growth,-6.420350112654023
2026-06-30,Severe,2027Q3,US,bbb_spread,3.4123884875355435
2026-06-30,Severe,2027Q3,US,corporate_default_rate,4.283184650047392
2026-06-30,Severe,2027Q4,US,unemployment_rate,6.119861583614082
2026-06-30,Severe,2027Q4,US,real_gdp_growth,-0.5967314234656524
2026-06-30,Severe,2027Q4,US,hpi_growth,-3.2149587188125617
2026-06-30,Severe,2027Q4,US,commercial_property_price_growth,-7.07944633445633
2026-06-30,Severe,2027Q4,US,bbb_spread,3.5644876156437686
2026-06-30,Severe,2027Q4,US,corporate_default_rate,4.485983487525025
2026-06-30,Severe,2028Q1,US,unemployment_rate,6.248187747028842
2026-06-30,Severe,2028Q1,US,real_gdp_growth,-0.7744138035783972
2026-06-30,Severe,2028Q1,US,hpi_growth,-3.6098084523964387
2026-06-30,Severe,2028Q1,US,commercial_property_price_growth,-7.592750988115371
2026-06-30,Severe,2028Q1,US,bbb_spread,3.682942535718931
2026-06-30,Severe,2028Q1,US,corporate_default_rate,4.643923380958576
2026-06-30,Severe,2028Q2,US,unemployment_rate,6.348128263584806
2026-06-30,Severe,2028Q2,US,real_gdp_growth,-0.9127929803481942
2026-06-30,Severe,2028Q2,US,hpi_growth,-3.9173177341070984
2026-06-30,Severe,2028Q2,US,commercial_property_price_growth,-7.992513054339229
2026-06-30,Severe,2028Q2,US,bbb_spread,3.77519532023213
2026-06-30,Severe,2028Q2,US,corporate_default_rate,4.76692709364284
2026-06-30,Severe,2028Q3,US,unemployment_rate,6.425962016139152
2026-06-30,Severe,2028Q3,US,real_gdp_growth,-1.0205627915772881
2026-06-30,Severe,2028Q3,US,hpi_growth,-4.156806203505085
2026-06-30,Severe,2028Q3,US,commercial_property_price_growth,-8.303848064556611
2026-06-30,Severe,2028Q3,US,bbb_spread,3.847041861051525
2026-06-30,Severe,2028Q3,US,corporate_default_rate,4.8627224814020344
2026-06-30,Severe,2028Q4,US,unemployment_rate,6.486579003577862
2026-06-30,Severe,2028Q4,US,real_gdp_growth,-1.1044940049539642
2026-06-30,Severe,2028Q4,US,hpi_growth,-4.343320011008809
2026-06-30,Severe,2028Q4,US,commercial_property_price_growth,-8.546316014311452
2026-06-30,Severe,2028Q4,US,bbb_spread,3.9029960033026425
2026-06-30,Severe,2028Q4,US,corporate_default_rate,4.937328004403524
2026-06-30,Severe,2029Q1,US,unemployment_rate,6.53378756086256
2026-06-30,Severe,2029Q1,US,real_gdp_growth,-1.1698596996558526
2026-06-30,Severe,2029Q1,US,hpi_growth,-4.488577110346339
2026-06-30,Severe,2029Q1,US,commercial_property_price_growth,-8.735150243450242
2026-06-30,Severe,2029Q1,US,bbb_spread,3.946573133103902
2026-06-30,Severe,2029Q1,US,corporate_default_rate,4.995430844138536
2026-06-30,Severe,2029Q2,US,unemployment_rate,6.570553622243553
2026-06-30,Severe,2029Q2,US,real_gdp_growth,-1.2207665538756896
2026-06-30,Severe,2029Q2,US,hpi_growth,-4.601703453057088
2026-06-30,Severe,2029Q2,US,commercial_property_price_growth,-8.882214488974215
2026-06-30,Severe,2029Q2,US,bbb_spread,3.980511035917126
2026-06-30,Severe,2029Q2,US,corporate_default_rate,5.040681381222836
2026-07-31,Baseline,2026Q3,US,unemployment_rate,4.1
2026-07-31,Baseline,2026Q3,US,real_gdp_growth,2.2
2026-07-31,Baseline,2026Q3,US,hpi_growth,3.0
2026-07-31,Baseline,2026Q3,US,commercial_property_price_growth,1.0
2026-07-31,Baseline,2026Q3,US,bbb_spread,1.7
2026-07-31,Baseline,2026Q3,US,corporate_default_rate,2.0
2026-07-31,Baseline,2026Q4,US,unemployment_rate,4.1
2026-07-31,Baseline,2026Q4,US,real_gdp_growth,2.2
2026-07-31,Baseline,2026Q4,US,hpi_growth,3.0
2026-07-31,Baseline,2026Q4,US,commercial_property_price_growth,1.0
2026-07-31,Baseline,2026Q4,US,bbb_spread,1.7
2026-07-31,Baseline,2026Q4,US,corporate_default_rate,2.0
2026-07-31,Baseline,2027Q1,US,unemployment_rate,4.1
2026-07-31,Baseline,2027Q1,US,real_gdp_growth,2.2
2026-07-31,Baseline,2027Q1,US,hpi_growth,3.0
2026-07-31,Baseline,2027Q1,US,commercial_property_price_growth,1.0
2026-07-31,Baseline,2027Q1,US,bbb_spread,1.7
2026-07-31,Baseline,2027Q1,US,corporate_default_rate,2.0
2026-07-31,Baseline,2027Q2,US,unemployment_rate,4.1
2026-07-31,Baseline,2027Q2,US,real_gdp_growth,2.2
2026-07-31,Baseline,2027Q2,US,hpi_growth,3.0
2026-07-31,Baseline,2027Q2,US,commercial_property_price_growth,1.0
2026-07-31,Baseline,2027Q2,US,bbb_spread,1.7
2026-07-31,Baseline,2027Q2,US,corporate_default_rate,2.0
2026-07-31,Baseline,2027Q3,US,unemployment_rate,4.1
2026-07-31,Baseline,2027Q3,US,real_gdp_growth,2.2
2026-07-31,Baseline,2027Q3,US,hpi_growth,3.0
2026-07-31,Baseline,2027Q3,US,commercial_property_price_growth,1.0
2026-07-31,Baseline,2027Q3,US,bbb_spread,1.7
2026-07-31,Baseline,2027Q3,US,corporate_default_rate,2.0
2026-07-31,Baseline,2027Q4,US,unemployment_rate,4.1
2026-07-31,Baseline,2027Q4,US,real_gdp_growth,2.2
2026-07-31,Baseline,2027Q4,US,hpi_growth,3.0
2026-07-31,Baseline,2027Q4,US,commercial_property_price_growth,1.0
2026-07-31,Baseline,2027Q4,US,bbb_spread,1.7
2026-07-31,Baseline,2027Q4,US,corporate_default_rate,2.0
2026-07-31,Baseline,2028Q1,US,unemployment_rate,4.1
2026-07-31,Baseline,2028Q1,US,real_gdp_growth,2.2
2026-07-31,Baseline,2028Q1,US,hpi_growth,3.0
2026-07-31,Baseline,2028Q1,US,commercial_property_price_growth,1.0
2026-07-31,Baseline,2028Q1,US,bbb_spread,1.7
2026-07-31,Baseline,2028Q1,US,corporate_default_rate,2.0
2026-07-31,Baseline,2028Q2,US,unemployment_rate,4.1
2026-07-31,Baseline,2028Q2,US,real_gdp_growth,2.2
2026-07-31,Baseline,2028Q2,US,hpi_growth,3.0
2026-07-31,Baseline,2028Q2,US,commercial_property_price_growth,1.0
2026-07-31,Baseline,2028Q2,US,bbb_spread,1.7
2026-07-31,Baseline,2028Q2,US,corporate_default_rate,2.0
2026-07-31,Baseline,2028Q3,US,unemployment_rate,4.1
2026-07-31,Baseline,2028Q3,US,real_gdp_growth,2.2
2026-07-31,Baseline,2028Q3,US,hpi_growth,3.0
2026-07-31,Baseline,2028Q3,US,commercial_property_price_growth,1.0
2026-07-31,Baseline,2028Q3,US,bbb_spread,1.7
2026-07-31,Baseline,2028Q3,US,corporate_default_rate,2.0
2026-07-31,Baseline,2028Q4,US,unemployment_rate,4.1
2026-07-31,Baseline,2028Q4,US,real_gdp_growth,2.2
2026-07-31,Baseline,2028Q4,US,hpi_growth,3.0
2026-07-31,Baseline,2028Q4,US,commercial_property_price_growth,1.0
2026-07-31,Baseline,2028Q4,US,bbb_spread,1.7
2026-07-31,Baseline,2028Q4,US,corporate_default_rate,2.0
2026-07-31,Baseline,2029Q1,US,unemployment_rate,4.1
2026-07-31,Baseline,2029Q1,US,real_gdp_growth,2.2
2026-07-31,Baseline,2029Q1,US,hpi_growth,3.0
2026-07-31,Baseline,2029Q1,US,commercial_property_price_growth,1.0
2026-07-31,Baseline,2029Q1,US,bbb_spread,1.7
2026-07-31,Baseline,2029Q1,US,corporate_default_rate,2.0
2026-07-31,Baseline,2029Q2,US,unemployment_rate,4.1
2026-07-31,Baseline,2029Q2,US,real_gdp_growth,2.2
2026-07-31,Baseline,2029Q2,US,hpi_growth,3.0
2026-07-31,Baseline,2029Q2,US,commercial_property_price_growth,1.0
2026-07-31,Baseline,2029Q2,US,bbb_spread,1.7
2026-07-31,Baseline,2029Q2,US,corporate_default_rate,2.0
2026-07-31,Downside,2026Q3,US,unemployment_rate,4.387558982007174
2026-07-31,Downside,2026Q3,US,real_gdp_growth,1.801841409528529
2026-07-31,Downside,2026Q3,US,hpi_growth,2.1152031322856195
2026-07-31,Downside,2026Q3,US,commercial_property_price_growth,-0.15023592802869468
2026-07-31,Downside,2026Q3,US,bbb_spread,1.9654390603143141
2026-07-31,Downside,2026Q3,US,corporate_default_rate,2.353918747085752
2026-07-31,Downside,2026Q4,US,unemployment_rate,4.611510142373576
2026-07-31,Downside,2026Q4,US,real_gdp_growth,1.4917551874827404
2026-07-31,Downside,2026Q4,US,hpi_growth,1.4261226388505337
2026-07-31,Downside,2026Q4,US,commercial_property_price_growth,-1.0460405694943065
2026-07-31,Downside,2026Q4,US,bbb_spread,2.17216320834484
2026-07-31,Downside,2026Q4,US,corporate_default_rate,2.6295509444597864
2026-07-31,Downside,2027Q1,US,unemployment_rate,4.78592348143668
2026-07-31,Downside,2027Q1,US,real_gdp_growth,1.2502597949338266
2026-07-31,Downside,2027Q1,US,hpi_growth,0.8894662109640588
2026-07-31,Downside,2027Q1,US,commercial_property_price_growth,-1.7436939257467237
2026-07-31,Downside,2027Q1,US,bbb_spread,2.333160136710782
2026-07-31,Downside,2027Q1,US,corporate_default_rate,2.8442135156143764
2026-07-31,Downside,2027Q2,US,unemployment_rate,4.921756726477125
2026-07-31,Downside,2027Q2,US,real_gdp_growth,1.0621829941085963
2026-07-31,Downside,2027Q2,US,hpi_growth,0.47151776468576934
2026-07-31,Downside,2027Q2,US,commercial_property_price_growth,-2.2870269059084998
2026-07-31,Downside,2027Q2,US,bbb_spread,2.4585446705942693
2026-07-31,Downside,2027Q2,US,corporate_default_rate,3.0113928941256924
2026-07-31,Downside,2027Q3,US,unemployment_rate,5.027543764081752
2026-07-31,Downside,2027Q3,US,real_gdp_growth,0.9157086343483425
2026-07-31,Downside,2027Q3,US,hpi_growth,0.1460191874407606
2026-07-31,Downside,2027Q3,US,commercial_property_price_growth,-2.7101750563270115
2026-07-31,Downside,2027Q3,US,bbb_spread,2.556194243767772
2026-07-31,Downside,2027Q3,US,corporate_default_rate,3.141592325023696
2026-07-31,Downside,2027Q4,US,unemployment_rate,5.109930791807041
2026-07-31,Downside,2027Q4,US,real_gdp_growth,0.8016342882671739
2026-07-31,Downside,2027Q4,US,hpi_growth,-0.10747935940628084
2026-07-31,Downside,2027Q4,US,commercial_property_price_growth,-3.039723167228165
2026-07-31,Downside,2027Q4,US,bbb_spread,2.632243807821884
2026-07-31,Downside,2027Q4,US,corporate_default_rate,3.2429917437625124
2026-07-31,Downside,2028Q1,US,unemployment_rate,5.174093873514421
2026-07-31,Downside,2028Q1,US,real_gdp_growth,0.7127930982108015
2026-07-31,Downside,2028Q1,US,hpi_growth,-0.30490422619821933
2026-07-31,Downside,2028Q1,US,commercial_property_price_growth,-3.2963754940576857
2026-07-31,Downside,2028Q1,US,bbb_spread,2.6914712678594657
2026-07-31,Downside,2028Q1,US,corporate_default_rate,3.321961690479288
2026-07-31,Downside,2028Q2,US,unemployment_rate,5.224064131792403
2026-07-31,Downside,2028Q2,US,real_gdp_growth,0.643603509825903
2026-07-31,Downside,2028Q2,US,hpi_growth,-0.4586588670535492
2026-07-31,Downside,2028Q2,US,commercial_property_price_growth,-3.4962565271696144
2026-07-31,Downside,2028Q2,US,bbb_spread,2.737597660116065
2026-07-31,Downside,2028Q2,US,corporate_default_rate,3.38346354682142
2026-07-31,Downside,2028Q3,US,unemployment_rate,5.262981008069576
2026-07-31,Downside,2028Q3,US,real_gdp_growth,0.589718604211356
2026-07-31,Downside,2028Q3,US,hpi_growth,-0.5784031017525426
2026-07-31,Downside,2028Q3,US,commercial_property_price_growth,-3.6519240322783055
2026-07-31,Downside,2028Q3,US,bbb_spread,2.7735209305257627
2026-07-31,Downside,2028Q3,US,corporate_default_rate,3.4313612407010172
2026-07-31,Downside,2028Q4,US,unemployment_rate,5.293289501788931
2026-07-31,Downside,2028Q4,US,real_gdp_growth,0.547752997523018
2026-07-31,Downside,2028Q4,US,hpi_growth,-0.6716600055044046
2026-07-31,Downside,2028Q4,US,commercial_property_price_growth,-3.7731580071557262
2026-07-31,Downside,2028Q4,US,bbb_spread,2.8014980016513213
2026-07-31,Downside,2028Q4,US,corporate_default_rate,3.468664002201762
2026-07-31,Downside,2029Q1,US,unemployment_rate,5.31689378043128
2026-07-31,Downside,2029Q1,US,real_gdp_growth,0.5150701501720738
2026-07-31,Downside,2029Q1,US,hpi_growth,-0.7442885551731697
2026-07-31,Downside,2029Q1,US,commercial_property_price_growth,-3.867575121725121
2026-07-31,Downside,2029Q1,US,bbb_spread,2.8232865665519506
2026-07-31,Downside,2029Q1,US,corporate_default_rate,3.497715422069268
2026-07-31,Downside,2029Q2,US,unemployment_rate,5.335276811121776
2026-07-31,Downside,2029Q2,US,real_gdp_growth,0.4896167230621553
2026-07-31,Downside,2029Q2,US,hpi_growth,-0.8008517265285442
2026-07-31,Downside,2029Q2,US,commercial_property_price_growth,-3.9411072444871076
2026-07-31,Downside,2029Q2,US,bbb_spread,2.840255517958563
2026-07-31,Downside,2029Q2,US,corporate_default_rate,3.520340690611418
2026-07-31,Severe,2026Q3,US,unemployment_rate,4.675117964014347
2026-07-31,Severe,2026Q3,US,real_gdp_growth,1.4036828190570576
2026-07-31,Severe,2026Q3,US,hpi_growth,1.230406264571239
2026-07-31,Severe,2026Q3,US,commercial_property_price_growth,-1.3004718560573894
2026-07-31,Severe,2026Q3,US,bbb_spread,2.230878120628628
2026-07-31,Severe,2026Q3,US,corporate_default_rate,2.707837494171504
2026-07-31,Severe,2026Q4,US,unemployment_rate,5.123020284747152
2026-07-31,Severe,2026Q4,US,real_gdp_growth,0.7835103749654804
2026-07-31,Severe,2026Q4,US,hpi_growth,-0.1477547222989326
2026-07-31,Severe,2026Q4,US,commercial_property_price_growth,-3.092081138988613
2026-07-31,Severe,2026Q4,US,bbb_spread,2.6443264166896796
2026-07-31,Severe,2026Q4,US,corporate_default_rate,3.259101888919573
2026-07-31,Severe,2027Q1,US,unemployment_rate,5.471846962873362
2026-07-31,Severe,2027Q1,US,real_gdp_growth,0.3005195898676529
2026-07-31,Severe,2027Q1,US,hpi_growth,-1.2210675780718825
2026-07-31,Severe,2027Q1,US,commercial_property_price_growth,-4.487387851493447
2026-07-31,Severe,2027Q1,US,bbb_spread,2.9663202734215646
2026-07-31,Severe,2027Q1,US,corporate_default_rate,3.688427031228753
2026-07-31,Severe,2027Q2,US,unemployment_rate,5.743513452954249
2026-07-31,Severe,2027Q2,US,real_gdp_growth,-0.0756340117828076
2026-07-31,Severe,2027Q2,US,hpi_growth,-2.0569644706284613
2026-07-31,Severe,2027Q2,US,commercial_property_price_growth,-5.5740538118169995
2026-07-31,Severe,2027Q2,US,bbb_spread,3.2170893411885384
2026-07-31,Severe,2027Q2,US,corporate_default_rate,4.022785788251385
2026-07-31,Severe,2027Q3,US,unemployment_rate,5.955087528163506
2026-07-31,Severe,2027Q3,US,real_gdp_growth,-0.3685827313033152
2026-07-31,Severe,2027Q3,US,hpi_growth,-2.707961625118479
2026-07-31,Severe,2027Q3,US,commercial_property_price_growth,-6.420350112654023
2026-07-31,Severe,2027Q3,US,bbb_spread,3.4123884875355435
2026-07-31,Severe,2027Q3,US,corporate_default_rate,4.283184650047392
2026-07-31,Severe,2027Q4,US,unemployment_rate,6.119861583614082
2026-07-31,Severe,2027Q4,US,real_gdp_growth,-0.5967314234656524
2026-07-31,Severe,2027Q4,US,hpi_growth,-3.2149587188125617
2026-07-31,Severe,2027Q4,US,commercial_property_price_growth,-7.07944633445633
2026-07-31,Severe,2027Q4,US,bbb_spread,3.5644876156437686
2026-07-31,Severe,2027Q4,US,corporate_default_rate,4.485983487525025
2026-07-31,Severe,2028Q1,US,unemployment_rate,6.248187747028842
2026-07-31,Severe,2028Q1,US,real_gdp_growth,-0.7744138035783972
2026-07-31,Severe,2028Q1,US,hpi_growth,-3.6098084523964387
